# epsilon_R, wavelength
8.498293630819111488e-01,4.176999999999999886e+02
8.612820661578302062e-01,4.521000000000000227e+02
8.711400710033064820e-01,4.868000000000000114e+02
8.796298296672384609e-01,5.215000000000000000e+02
8.869649403414112676e-01,5.560000000000000000e+02
8.884333526509327061e-01,5.635000000000000000e+02
8.930219507147350022e-01,5.884000000000000909e+02
8.973237991324882756e-01,6.140000000000000000e+02
9.011662949820763435e-01,6.390000000000000000e+02
9.047763530650733133e-01,6.646000000000000227e+02
9.080075286929530920e-01,6.895000000000000000e+02
9.110612151148491655e-01,7.150000000000000000e+02
9.138303436544444880e-01,7.400000000000000000e+02
9.163995880980974063e-01,7.650000000000000000e+02
9.188346094978995238e-01,7.905000000000000000e+02
9.211002955630208655e-01,8.160000000000000000e+02
9.231966746167054039e-01,8.413000000000000682e+02
9.251110036079258636e-01,8.660000000000000000e+02
9.269693931195115422e-01,8.915999999999999091e+02
9.286978204384740421e-01,9.170000000000000000e+02
9.303211175764833918e-01,9.423999999999999773e+02
9.318188895240711034e-01,9.673000000000000682e+02
9.332590371031310728e-01,9.927000000000000455e+02
9.346124476318673491e-01,1.018000000000000000e+03
9.366972962710723438e-01,1.060000000000000000e+03
9.384273701567298342e-01,1.098000000000000000e+03
9.401063747124039915e-01,1.138000000000000000e+03
9.416925671318878699e-01,1.179000000000000000e+03
9.432256520676742806e-01,1.222000000000000000e+03
9.446712908485972449e-01,1.266000000000000000e+03
9.460642016281556321e-01,1.312000000000000000e+03
9.473492716106470812e-01,1.358000000000000000e+03
9.486372566709551091e-01,1.408000000000000000e+03
9.498470970502316257e-01,1.459000000000000000e+03
9.510056128824483368e-01,1.512000000000000000e+03
9.520939202854611372e-01,1.566000000000000000e+03
9.531530692072442967e-01,1.623000000000000000e+03
9.541632139859171913e-01,1.682000000000000000e+03
9.551257395895367264e-01,1.743000000000000000e+03
