# D_lambda, wavelength
3.725124826368108870e+02,4.176999999999999886e+02
3.695399041694358289e+02,4.521000000000000227e+02
3.670188644170347061e+02,4.868000000000000114e+02
3.638073495255689522e+02,5.215000000000000000e+02
3.616525258184344125e+02,5.560000000000000000e+02
3.609687109780157357e+02,5.635000000000000000e+02
3.601465465143949132e+02,5.884000000000000909e+02
3.584780635030870712e+02,6.140000000000000000e+02
3.571435786497989398e+02,6.390000000000000000e+02
3.554094546888153445e+02,6.646000000000000227e+02
3.549208939286341433e+02,6.895000000000000000e+02
3.535907978630125967e+02,7.150000000000000000e+02
3.525070136829455691e+02,7.400000000000000000e+02
3.514906490800217966e+02,7.650000000000000000e+02
3.509791449518573359e+02,7.905000000000000000e+02
3.501300775954341589e+02,8.160000000000000000e+02
3.489033697571253470e+02,8.413000000000000682e+02
3.478063440973677416e+02,8.660000000000000000e+02
3.472884608779480686e+02,8.915999999999999091e+02
3.470267250440528528e+02,9.170000000000000000e+02
3.467549278111104059e+02,9.423999999999999773e+02
3.463355879442797800e+02,9.673000000000000682e+02
3.465492071131892544e+02,9.927000000000000455e+02
3.459927394039441424e+02,1.018000000000000000e+03
3.449412827479791872e+02,1.060000000000000000e+03
3.444892357211681997e+02,1.098000000000000000e+03
3.445399036805519017e+02,1.138000000000000000e+03
3.445307180555134892e+02,1.179000000000000000e+03
3.437821235053872897e+02,1.222000000000000000e+03
3.441503251256916656e+02,1.266000000000000000e+03
3.439612274473979596e+02,1.312000000000000000e+03
3.423662157905349659e+02,1.358000000000000000e+03
3.418875505787344196e+02,1.408000000000000000e+03
3.417694650154068086e+02,1.459000000000000000e+03
3.389785591266791585e+02,1.512000000000000000e+03
3.363557224306257467e+02,1.566000000000000000e+03
3.348881515360391177e+02,1.623000000000000000e+03
3.373344170098935138e+02,1.682000000000000000e+03
3.356058810879414409e+02,1.743000000000000000e+03
