# D_lambda, wavelength
6.356529231275054599e+02,3.005000000000000000e+02
5.678837743845476780e+02,3.145000000000000000e+02
5.747793378051424042e+02,3.284000000000000341e+02
6.215987387738764482e+02,3.420000000000000000e+02
6.236154404598570409e+02,3.560000000000000000e+02
6.355076487295497145e+02,3.695999999999999659e+02
6.705435526261904897e+02,3.835000000000000000e+02
6.514123602708865519e+02,3.975000000000000000e+02
6.420322921257826465e+02,4.111000000000000227e+02
6.613341801534611477e+02,4.250000000000000000e+02
6.659180702722755996e+02,4.390000000000000000e+02
6.594100848967832462e+02,4.526000000000000227e+02
6.633322633226024436e+02,4.666000000000000227e+02
6.648872540232497386e+02,4.805000000000000000e+02
6.758525107989354410e+02,4.940999999999999659e+02
6.811150814621802283e+02,5.082999999999999545e+02
6.941761803510581785e+02,5.220000000000000000e+02
6.924967221535461022e+02,5.355999999999999091e+02
6.937792054531043959e+02,5.500000000000000000e+02
6.977552538285358423e+02,5.635000000000000000e+02
7.033930414508394051e+02,5.884000000000000909e+02
7.094012678543482480e+02,6.140000000000000000e+02
7.149793344735089704e+02,6.390000000000000000e+02
7.185830402571813238e+02,6.646000000000000227e+02
7.220685073546784452e+02,6.895000000000000000e+02
7.255100973795335904e+02,7.150000000000000000e+02
7.303529732590741332e+02,7.400000000000000000e+02
7.332717267448663279e+02,7.650000000000000000e+02
7.351914628936917779e+02,7.905000000000000000e+02
7.387371246252438368e+02,8.160000000000000000e+02
7.408052468543812665e+02,8.413000000000000682e+02
7.426650935709044461e+02,8.660000000000000000e+02
7.446097858926359550e+02,8.915999999999999091e+02
7.457969474383708075e+02,9.170000000000000000e+02
7.470901934840678678e+02,9.423999999999999773e+02
7.485537551600307324e+02,9.673000000000000682e+02
7.493715127218081307e+02,9.927000000000000455e+02
7.504900238588518278e+02,1.018000000000000000e+03
7.524009791778363478e+02,1.055000000000000000e+03
7.537587932918698925e+02,1.083000000000000000e+03
7.539981049800026085e+02,1.112000000000000000e+03
7.549891155443910975e+02,1.143000000000000000e+03
7.556497417985364109e+02,1.174000000000000000e+03
7.565113796332844913e+02,1.205000000000000000e+03
7.566327043793119174e+02,1.237000000000000000e+03
7.574142304339615066e+02,1.271000000000000000e+03
7.581152444962046957e+02,1.306000000000000000e+03
7.588161937237547363e+02,1.341000000000000000e+03
7.598162113378048161e+02,1.377000000000000000e+03
7.610871905768811985e+02,1.414000000000000000e+03
7.627550996942567281e+02,1.452000000000000000e+03
7.653072655214865563e+02,1.492000000000000000e+03
7.676494551733803746e+02,1.532000000000000000e+03
7.707882124849962793e+02,1.573000000000000000e+03
7.737238257790046418e+02,1.616000000000000000e+03
7.749807253119023471e+02,1.659000000000000000e+03
7.752983498593434888e+02,1.704000000000000000e+03
7.760897075625994148e+02,1.751000000000000000e+03
7.777080971000938234e+02,2.098000000000000000e+03
7.704367780149157170e+02,2.938000000000000000e+03
7.889958436140265121e+02,3.060000000000000000e+03
7.891302812402800555e+02,3.184000000000000000e+03
7.735268133219897209e+02,3.307000000000000000e+03
8.038135479712104825e+02,3.430000000000000000e+03
