phot,f=2%,f=4%,f=6%,f=8%,f=10%,epsilon(f=2%),epsilon(f=4%),epsilon(f=6%),epsilon(f=8%),epsilon(f=10%)
656.63103427216,675.85294720629,695.93779923682,716.95972799002,738.9664537073,762.02600160657,1.0192767604755,1.0393113157906,1.060149246713,1.0818398643481,1.1044365996907
554.38347283787,572.29640124679,591.08307369082,610.81894940451,631.55653810953,653.36751252787,1.019120404177,1.0389862410613,1.0596419697072,1.0811356563967,1.1035193480269
554.27371985783,571.79334287638,590.1661425517,609.46600718115,629.74459403209,651.07222690297,1.0189597303744,1.0386522979165,1.0591210286927,1.0804127327506,1.1025780614672
626.03462217825,644.17076594447,663.1278030601,682.97488428704,703.75750933005,725.53967612266,1.018798138021,1.0383165559702,1.0585974604016,1.0796864211721,1.1016327132316
624.95042417543,642.82738229804,661.50878007221,681.06227478837,701.53197202949,722.98006016824,1.0186280753138,1.0379633345023,1.0580468273254,1.0789228433202,1.1006392378188
640.34938148505,658.09910322179,676.63226280823,696.0142578083,716.28701409865,737.51020346857,1.0184599785358,1.0376143165683,1.0575029417911,1.078168903015,1.0996586811841
695.47504116785,713.35198301037,731.97642324663,751.40998999768,771.69031142832,792.87242682924,1.0182858973289,1.0372529991964,1.0569400934325,1.0773889696306,1.0986447152256
661.92254957631,679.39401459904,697.60955320475,716.63027771807,736.49414978849,757.25599624477,1.0181088554805,1.0368856682159,1.0563680896607,1.0765966552583,1.0976150659311
647.99906542268,665.21762899463,683.16762473242,701.90877954257,721.47773269005,741.92774754978,1.0179357642475,1.036526662115,1.055809256103,1.0758228809989,1.096609911678
678.07680242848,695.26843058298,713.16586973535,731.82620095902,751.28322236051,771.58711556491,1.0177582132217,1.0361585374811,1.0552364406872,1.0750300519207,1.0955804157608
680.71481986243,697.68639149337,715.34946263108,733.75976836987,752.95003867304,772.96902521951,1.0175791721521,1.0357874582123,1.0546592450526,1.0742314721459,1.0945438728697
668.65343418687,685.36691911247,702.76056250063,720.8889557625,739.78392993601,759.49294730826,1.0174054203407,1.0354274707199,1.0540995105019,1.0734573495539,1.0935394774364
674.55829425189,691.11730121774,708.33922094138,726.27687769478,744.96037542304,764.43523211034,1.0172270823244,1.0350581136781,1.0535254206681,1.0726636788842,1.092510130175
678.29875960179,694.70993772192,711.76659781491,729.51968346546,747.99756110122,767.24359705826,1.0170508488885,1.0346932471094,1.0529585222229,1.0718802536338,1.0914944785961
696.79636251962,713.12166458948,730.07242118017,747.697639498,766.02373335144,785.09189718556,1.0168794784849,1.0343385742129,1.052407663551,1.0711192832239,1.0905083258166
709.9960680822,726.2344059995,743.07618210467,760.56815935577,778.73447843069,797.61374227805,1.0167019053463,1.0339711943838,1.0518372787211,1.070331638545,1.089488007707
727.73042932794,743.80458107615,760.46603166946,777.76030219689,795.71043290672,814.35368121163,1.0165321004181,1.0336200102397,1.0512922381549,1.0695792764799,1.0885137767083
722.57834292466,738.45223259772,754.90337156425,771.97626783088,789.69323244138,808.0905683816,1.0163651765098,1.0332749026933,1.0507568181416,1.0688404651796,1.0875574554383
724.03254903752,739.72914754672,755.98926019316,772.8561103072,790.35088487123,808.50848224956,1.0161903752788,1.0329136346723,1.0501965270949,1.0680676222076,1.0865574679907
729.98405528757,745.52674728323,761.61942535247,778.30408371615,795.60085198882,813.54334646477,1.0160284396089,1.0325790709059,1.0496778352261,1.0673524211279,1.0856324139859
739.27227556969,754.53846521789,770.33001205085,786.68669800652,803.62670102063,821.18132312081,1.0157350204857,1.0319731389855,1.048738875914,1.0660583714756,1.0839595216362
749.40049122418,764.38693128,779.87451092343,795.90089977311,812.48247137589,829.64828763687,1.0154408965056,1.0313661139473,1.0477988022689,1.0647636106994,1.0822868110991
759.15254133274,773.86874499641,789.06356407771,804.77273360335,821.01100186993,837.80544325518,1.0151614073055,1.0307896287295,1.0469065609003,1.0635354916703,1.0807012123649
765.05279087091,779.49373908037,794.39282878457,809.78406732524,825.68077241629,842.10828018294,1.0148833767797,1.0302164767845,1.0460199962594,1.0623159211657,1.0791276292091
771.34625831909,785.52994961245,800.15245736897,815.24620023965,830.82318056027,846.90707092661,1.01462100299,1.0296758973802,1.0451842882289,1.0611669797869,1.0776460685871
777.25541634244,791.17987404675,805.52472020712,820.32084867989,835.5790591239,851.32153294731,1.0143605838519,1.0291396298169,1.0443556990588,1.0600284669503,1.0761788079283
786.03175673797,799.70795747075,813.78681046773,828.29781710536,843.25071114444,858.66631398057,1.0141133782051,1.0286308342171,1.0435699736802,1.0589494400916,1.0747889923985
791.21191799736,804.64945826397,818.47366710863,832.71280785324,847.37564991999,862.48180245707,1.0138741234336,1.0281386459291,1.0428102805648,1.0579067082285,1.0734466486773
794.58132293897,807.78433252504,821.35908269665,835.33262937041,849.71288328639,864.51831789458,1.0136381529355,1.0276534478365,1.0420617479387,1.0568798187853,1.0721253932848
801.02973730622,814.00281090227,827.3327293068,841.04545221431,855.14805033771,869.657948942,1.013410173822,1.0271849019186,1.0413392546773,1.0558891447663,1.0708513867898
804.75324271567,817.50587809137,830.60207664143,844.06679213656,857.90635220839,872.13722869162,1.0131916976616,1.0267360897501,1.0406475124024,1.0549410894078,1.0696327870332
