phot,f=2%,f=4%,f=6%,f=8%,f=10%,epsilon(f=2%),epsilon(f=4%),epsilon(f=6%),epsilon(f=8%),epsilon(f=10%)
12359.766378658,12701.457387806,13059.419980019,13435.112542618,13829.570775304,14244.208096304,1.0276454261901,1.0566073483855,1.0870037613184,1.1189184610466,1.1524658039573
12365.523926467,12699.037115906,13048.155481274,13414.267626314,13798.345738503,14201.723763738,1.0269712137894,1.0552044182572,1.0848119097972,1.1158723092168,1.1484934927294
12386.167646137,12712.08634466,13053.017843422,13410.290750967,13784.822750985,14177.88183312,1.0263131186202,1.0538382990071,1.0826828066669,1.1129207309966,1.1446544434219
12383.782691126,12704.221133178,13039.235265047,13390.10679226,13757.711193274,14143.26463946,1.0258756512485,1.0529283006873,1.0812614470258,1.1109457858247,1.1420795238595
12393.383293073,12706.286053143,13033.191719256,13375.324044061,13733.508413303,14108.896692156,1.0252475657914,1.0516250011037,1.079231048356,1.1081323064525,1.1384217173402
12403.811346703,12709.327666039,13028.310134545,13361.929246989,13710.963015415,14076.507324367,1.0246308421498,1.0503473303798,1.0772438304248,1.1053830659122,1.1348533874718
12361.452769492,12680.732162229,13014.359024985,13363.579102229,13729.228568158,14112.475970457,1.0258286302339,1.0528179225911,1.0810686536141,1.1106484669862,1.1416518942892
12334.568589299,12647.95261458,12975.178837656,13317.438910257,13675.52039284,14050.531906209,1.0254069709056,1.0519361697752,1.0796842073432,1.108714933468,1.1391182273209
12375.393389079,12681.777265684,13001.50162592,13335.710930055,13685.151602354,14050.882107226,1.0247575060422,1.0505929966956,1.0775989506582,1.1058356831251,1.1353887238546
12336.28930583,12643.9313656,12964.912081375,13300.368305213,13651.035376872,14017.959557062,1.0249379738221,1.0509572011454,1.0781498370769,1.1065754894724,1.1363189699546
12360.797284257,12658.705211704,12969.270702763,13293.567251163,13632.276898821,13986.3790666,1.0241010284851,1.0492260656423,1.0754619581128,1.1028638837224,1.13151107853
12356.070442036,12651.365953834,12959.080294884,13280.260611078,13615.564967362,13965.943832078,1.0238988206795,1.0488027205474,1.0747964470886,1.1019332587358,1.1302900786778
12355.207828694,12645.55804227,12947.955707664,13263.412262902,13592.553218795,13936.289398784,1.023500229021,1.0479755490307,1.0735078233244,1.1001476792019,1.1279688364625
12363.903021255,12648.589048406,12944.927410317,13253.891952056,13576.075998659,13912.351479617,1.0230255791122,1.0469936061504,1.0719828462963,1.0980412880399,1.125239453569
12352.237877126,12632.619768956,12924.329317422,13228.307562386,13545.120980565,13875.605392633,1.0226988740517,1.04631480109,1.0709239648697,1.0965722256408,1.1233272489293
12344.474527745,12622.192751291,12911.012166174,13211.850679241,13525.252622103,13852.027829006,1.0224973710239,1.0458940262832,1.0702643234871,1.0956523577981,1.1221237321907
12332.889994758,12606.322742544,12890.544851835,13186.444168279,13494.538714292,13815.60588207,1.0221710197611,1.0452168840648,1.0692095829837,1.0941911198452,1.1202245287149
12334.420208576,12604.109278391,12884.321478806,13175.918628963,13479.39767999,13795.509139093,1.0218647545044,1.0445826606303,1.0682235894478,1.0928278307413,1.1184562310842
12333.990868952,12600.349868842,12876.986666501,13164.739225502,13464.084226079,13775.745944761,1.0215955243295,1.0440243391874,1.0673543839441,1.0916243062878,1.1168928282117
12329.767284601,12592.486738405,12865.226995021,13148.80221045,13443.667444246,13750.522244714,1.0213077382354,1.0434282089889,1.0664274440015,1.0903423506651,1.1152296655175
12325.522864189,12582.30225794,12848.683429918,13125.44028951,13412.99572174,13712.007245103,1.0208331440849,1.0424453040649,1.064899269113,1.0882293489318,1.1124888896148
12317.26387049,12568.107829896,12828.14560517,13098.113250916,13378.40109864,13669.626945563,1.0203652338737,1.0414768848059,1.0633947107602,1.0861504015264,1.1097941141225
12311.716147467,12556.975286779,12811.055804082,13074.660178112,13348.149698932,13632.107097338,1.0199207922254,1.0405580871614,1.0619689425508,1.0841827036175,1.107246701764
12308.63988668,12547.566709516,12794.92227173,13051.374071882,13317.256408982,13593.116237213,1.0194113098633,1.0395074020792,1.0603425067303,1.0819437835202,1.1043556690551
12296.987106146,12532.635575023,12776.453241583,13029.082328161,13290.835802933,13562.234041358,1.0191631061205,1.0389905373811,1.0595345197727,1.0808205040965,1.1028908076662
12289.180749329,12520.159614402,12759.003770225,13006.328135635,13262.423585781,13527.782714423,1.0187953021267,1.0382306217541,1.0583559962974,1.0791950949623,1.10078800128
12283.001615381,12509.496950027,12743.57315475,12985.820809169,13236.51124327,13496.111229765,1.0184397382447,1.0374966603271,1.0572188472978,1.0776283890328,1.0987632870507
12277.496914271,12499.793196302,12729.406574925,12966.905121159,13212.541159255,13466.75875267,1.0181059937204,1.0368079636925,1.0561521792025,1.0761591920172,1.0968651710283
12273.075474754,12491.5229498,12717.046834467,12950.192087474,13191.195260959,13440.479379553,1.0177989189014,1.0361744177835,1.0551708994304,1.0748076379138,1.0951191009295
12268.20311668,12482.835886283,12704.312853751,12933.159742646,13169.59761726,13414.029059859,1.0174950453267,1.0355479716893,1.0542016316197,1.0734740444062,1.0933980251453
12262.891401101,12473.607674784,12690.942786744,12915.403291017,13147.194508908,13386.700937766,1.0171832455162,1.034906236355,1.0532102803958,1.0721121209413,1.0916431125341
12260.627498828,12467.800534384,12681.38750199,12901.881992991,13129.47389008,13364.533612046,1.0168974251583,1.0343179827625,1.0523019310573,1.0708647572349,1.0900366733533
12253.443325478,12457.259501495,12667.292329697,12884.014973717,13107.608276248,13338.423661104,1.0166333797451,1.0337740986942,1.0514607715961,1.0697081569712,1.0885449344162
12250.125659073,12451.578955081,12659.087317916,12873.115534288,13093.829216922,13321.567059531,1.0164449983301,1.0333842827595,1.0508557946713,1.0688730533326,1.0874637069265
12244.576856255,12443.662092192,12648.648512292,12859.978825171,13077.81352005,13302.478349233,1.0162590539693,1.0330000506167,1.0502591454274,1.0680494453648,1.0863975542313
12240.463385755,12436.343090733,12637.951394638,12845.718678492,13059.79395945,13280.487630195,1.0160026380379,1.032473281146,1.0494470898415,1.0669362382677,1.0849660843437
12240.462273242,12434.391509031,12633.919036601,12839.465699574,13051.169552603,13269.335864324,1.0158432934525,1.0321439464111,1.0489363402264,1.0662317534471,1.0840551253796
12238.222902105,12429.209228689,12625.639390675,12827.92089905,13036.188447315,13250.731999606,1.015605723814,1.031656270005,1.0481849367888,1.0652027301343,1.0827333433621
12231.431989383,12419.084451093,12611.988033901,12810.534534606,13014.841251389,13225.182287961,1.0153418227623,1.0311129592061,1.0473454412963,1.0640488589304,1.0812456218896
12230.225809348,12414.138413078,12603.134862822,12797.594522316,12997.627382102,13203.500002941,1.0150375476788,1.0304907741923,1.0463906980797,1.0627463126779,1.0795794132312
12228.720670642,12411.057496802,12598.362330621,12791.006277496,12989.096652897,13192.887574919,1.0149105397916,1.0302273369337,1.0459807384598,1.0621795200606,1.0788444621678
12224.461118755,12404.274319244,12588.920555401,12778.759122481,12973.887417342,13174.546607272,1.0147092946464,1.0298139470612,1.0453433487449,1.0613054670719,1.0777200302972
12222.492902382,12399.697411929,12581.60841463,12768.558295053,12960.652041924,13158.123201897,1.0144982296952,1.0293815275752,1.0446770881384,1.0603935011816,1.076549874644
12222.035297273,12397.094635256,12576.73259058,12761.300755876,12950.864625413,13145.666032291,1.014323255802,1.0290211314793,1.044122394142,1.0596324024937,1.0755709431819
12220.162948907,12392.825767266,12569.947353368,12751.852415449,12938.6289355,13130.496201776,1.0141293384614,1.0286235466682,1.0435091961346,1.0587934866005,1.0744943628554
12220.960184043,12390.427081535,12564.230515519,12742.690206518,12925.864186454,13113.969049398,1.0138669052955,1.0280886547625,1.0426914100544,1.0576799197276,1.0730719069456
12217.909655311,12385.637898887,12557.601741544,12734.078244355,12915.171401277,13101.081186534,1.0137280638266,1.0278027989907,1.0422468821268,1.0570688248348,1.0722849944171
12213.270887138,12378.717984809,12548.297815439,12722.264522534,12900.737819803,13083.85573565,1.0135465019322,1.0274313843848,1.0416754561574,1.0562885191868,1.0712818749831
12210.502255988,12373.653824773,12540.795618909,12712.228085739,12888.044476919,13068.364573132,1.0133615772198,1.0270499407802,1.0410896963313,1.0554884808771,1.0702561040619
12205.879261733,12366.545172778,12531.111935183,12699.838140596,12872.79270929,13050.176543417,1.0131629936361,1.0266455751754,1.040468930445,1.0546387059266,1.0691713610777
12203.903882572,12362.373338075,12524.635846693,12690.974246274,12861.439528992,13036.207674875,1.0129851445101,1.0262810955582,1.0399110291583,1.0538791236597,1.0681997990406
12199.277040474,12355.265006279,12514.94857327,12678.600515937,12846.265818922,13018.111006576,1.0127866565607,1.025876249203,1.0392911378169,1.0530350098863,1.0671215157575
12193.151133905,12346.932681884,12504.324530324,12665.590947295,12830.771160185,13000.023393725,1.0126121251423,1.0255203427729,1.0387463263764,1.0522932931183,1.0661742195237
12186.929634773,12338.447136804,12493.44090537,12652.231624659,12814.852279331,12981.345437544,1.0124327871393,1.0251508197539,1.0381804116238,1.0515242693096,1.0651858857464
12180.70460473,12329.932661836,12482.423712054,12638.657947723,12798.589315113,12962.297865155,1.0122511843074,1.0247702507462,1.0375966216942,1.0507265162758,1.0641665064369
12182.215300172,12329.817133894,12480.785004945,12635.346488636,12793.462008014,12955.454447421,1.0121161734615,1.0245086544127,1.0371961238001,1.050175332875,1.0634727862048
12175.122570873,12320.556998146,12469.382971007,12621.536197876,12777.356966553,12936.686582869,1.011945212578,1.0241689887244,1.0366660478697,1.0494643394491,1.0625508291652
12169.824070558,12313.253976278,12460.006750104,12609.926683573,12763.480939099,12920.41038156,1.0117857008358,1.023844443261,1.0361634326399,1.0487810559215,1.0616760198545
