# epsilon_R, wavelength
8.911475675761666437e-01,4.320000000000000000e+02
9.032469671603839956e-01,4.870000000000000000e+02
9.094554747304813835e-01,5.215000000000000000e+02
9.148370646041456000e-01,5.560000000000000000e+02
9.159125302333415153e-01,5.635000000000000000e+02
9.192690609054005035e-01,5.884000000000000909e+02
9.224099887221227645e-01,6.140000000000000000e+02
9.252106420890759964e-01,6.390000000000000000e+02
9.278376269560705270e-01,6.646000000000000227e+02
9.301853936818547108e-01,6.895000000000000000e+02
9.324011564540728436e-01,7.150000000000000000e+02
9.344079125786853846e-01,7.400000000000000000e+02
9.362676962413066795e-01,7.650000000000000000e+02
9.380284796887349286e-01,7.905000000000000000e+02
9.396652517752760447e-01,8.160000000000000000e+02
9.411784171567890711e-01,8.413000000000000682e+02
9.425591342691012064e-01,8.660000000000000000e+02
9.438985952373168953e-01,8.915999999999999091e+02
9.451436225014540060e-01,9.170000000000000000e+02
9.463122941877545324e-01,9.423999999999999773e+02
9.473900928514926711e-01,9.673000000000000682e+02
9.484260046339721972e-01,9.927000000000000455e+02
9.493991823566619859e-01,1.018000000000000000e+03
9.508977314643572987e-01,1.060000000000000000e+03
9.521408313205321772e-01,1.098000000000000000e+03
9.533469379242753838e-01,1.138000000000000000e+03
9.544861822845287502e-01,1.179000000000000000e+03
9.555871848654818868e-01,1.222000000000000000e+03
9.566253714154772103e-01,1.266000000000000000e+03
9.576257474731595387e-01,1.312000000000000000e+03
9.585487850997239656e-01,1.358000000000000000e+03
9.594740875605195507e-01,1.408000000000000000e+03
9.603434654411798777e-01,1.459000000000000000e+03
9.611762138762834917e-01,1.512000000000000000e+03
9.619587713461554834e-01,1.566000000000000000e+03
9.627206666851433337e-01,1.623000000000000000e+03
9.634476363753375905e-01,1.682000000000000000e+03
9.641406737582876030e-01,1.743000000000000000e+03
