# epsilon_R, wavelength
1.084470916026370135e+00,4.320000000000000000e+02
1.083226584758294697e+00,4.870000000000000000e+02
1.082356109296678914e+00,5.215000000000000000e+02
1.081433345546058300e+00,5.560000000000000000e+02
1.081227145402230860e+00,5.635000000000000000e+02
1.080530983651166288e+00,5.884000000000000909e+02
1.079800256442296380e+00,6.140000000000000000e+02
1.079076173229288171e+00,6.390000000000000000e+02
1.078327872042155633e+00,6.646000000000000227e+02
1.077596723940392298e+00,6.895000000000000000e+02
1.076847595227447218e+00,7.150000000000000000e+02
1.076115365326789197e+00,7.400000000000000000e+02
1.075387523803008616e+00,7.650000000000000000e+02
1.074651586126808445e+00,7.905000000000000000e+02
1.073923843478751694e+00,8.160000000000000000e+02
1.073211294826459161e+00,8.413000000000000682e+02
1.072525850561344640e+00,8.660000000000000000e+02
1.071826998870969661e+00,8.915999999999999091e+02
1.071145990608733722e+00,9.170000000000000000e+02
1.070477901902375351e+00,9.423999999999999773e+02
1.069835928208699771e+00,9.673000000000000682e+02
1.069194596358061577e+00,9.927000000000000455e+02
1.068569579986671236e+00,1.018000000000000000e+03
1.067562662568951382e+00,1.060000000000000000e+03
1.066684632773241992e+00,1.098000000000000000e+03
1.065793944578484087e+00,1.138000000000000000e+03
1.064916089641305685e+00,1.179000000000000000e+03
1.064032646846151398e+00,1.222000000000000000e+03
1.063166892479295633e+00,1.266000000000000000e+03
1.062301603532981309e+00,1.312000000000000000e+03
1.061475317234807481e+00,1.358000000000000000e+03
1.060619345802068958e+00,1.408000000000000000e+03
1.059789191510047246e+00,1.459000000000000000e+03
1.058969870373921429e+00,1.512000000000000000e+03
1.058177899670300182e+00,1.566000000000000000e+03
1.057385892007110861e+00,1.623000000000000000e+03
1.056610543899835220e+00,1.682000000000000000e+03
1.055853200287457883e+00,1.743000000000000000e+03
