# D_lambda, wavelength
6.100075278558602804e+03,4.320000000000000000e+02
6.227625816269566712e+03,4.870000000000000000e+02
6.394794021535754837e+03,5.215000000000000000e+02
6.540860717124119219e+03,5.560000000000000000e+02
6.572479450131285375e+03,5.635000000000000000e+02
6.653659431964165378e+03,5.884000000000000909e+02
6.750472159138487768e+03,6.140000000000000000e+02
6.831500346579311554e+03,6.390000000000000000e+02
6.934251242950662345e+03,6.646000000000000227e+02
6.959668644274885992e+03,6.895000000000000000e+02
7.025325935977378322e+03,7.150000000000000000e+02
7.089756450306738770e+03,7.400000000000000000e+02
7.140051222163323473e+03,7.650000000000000000e+02
7.186083879613281169e+03,7.905000000000000000e+02
7.225051640796342326e+03,8.160000000000000000e+02
7.282291376096261956e+03,8.413000000000000682e+02
7.336393005255348726e+03,8.660000000000000000e+02
7.371140044013291117e+03,8.915999999999999091e+02
7.384295196902868156e+03,9.170000000000000000e+02
7.404369947922151368e+03,9.423999999999999773e+02
7.440777600632331087e+03,9.673000000000000682e+02
7.437195496217463187e+03,9.927000000000000455e+02
7.477030560370523744e+03,1.018000000000000000e+03
7.512871265509924342e+03,1.060000000000000000e+03
7.556802101894466432e+03,1.098000000000000000e+03
7.567798623151822540e+03,1.138000000000000000e+03
7.596044940073709768e+03,1.179000000000000000e+03
7.614484070378568504e+03,1.222000000000000000e+03
7.657575267440597599e+03,1.266000000000000000e+03
7.670211279900085174e+03,1.312000000000000000e+03
7.708352338750334638e+03,1.358000000000000000e+03
7.741624117901579666e+03,1.408000000000000000e+03
7.784212135042434056e+03,1.459000000000000000e+03
7.835848685789348565e+03,1.512000000000000000e+03
7.884131260097570703e+03,1.566000000000000000e+03
7.933270373386758365e+03,1.623000000000000000e+03
7.931093939986477380e+03,1.682000000000000000e+03
7.980355683350093386e+03,1.743000000000000000e+03
