# wavelength, D_lambda
4.320000000000000000e+02,5.972417210512670863e+03
4.870000000000000000e+02,6.115046606197327492e+03
5.215000000000000000e+02,6.288871927893402244e+03
5.560000000000000000e+02,6.441067473570094990e+03
5.635000000000000000e+02,6.473902900933859200e+03
5.884000000000000909e+02,6.558985611050061380e+03
6.140000000000000000e+02,6.659305107154622419e+03
6.390000000000000000e+02,6.743548068764537675e+03
6.646000000000000227e+02,6.849272070754142078e+03
6.895000000000000000e+02,6.877455881997951110e+03
7.150000000000000000e+02,6.945655292451502646e+03
7.400000000000000000e+02,7.012398624499871403e+03
7.650000000000000000e+02,7.064864030653095142e+03
7.905000000000000000e+02,7.112968743412273398e+03
8.160000000000000000e+02,7.153876107734214202e+03
8.413000000000000682e+02,7.212839593465303551e+03
8.660000000000000000e+02,7.268546381995366573e+03
8.915999999999999091e+02,7.304881634206283707e+03
9.170000000000000000e+02,7.319530341916236466e+03
9.423999999999999773e+02,7.340992164675763888e+03
9.673000000000000682e+02,7.378683233448479768e+03
9.927000000000000455e+02,7.376375151511460899e+03
1.018000000000000000e+03,7.417355889854926318e+03
1.060000000000000000e+03,7.454962837835754726e+03
1.098000000000000000e+03,7.500377589019557490e+03
1.138000000000000000e+03,7.512816257242760003e+03
1.179000000000000000e+03,7.542425147121889495e+03
1.222000000000000000e+03,7.562234338563289384e+03
1.266000000000000000e+03,7.606566639515200222e+03
1.312000000000000000e+03,7.620387514353233200e+03
1.358000000000000000e+03,7.659663571842445890e+03
1.408000000000000000e+03,7.693906455520149393e+03
1.459000000000000000e+03,7.737625186532093721e+03
1.512000000000000000e+03,7.790108090967695716e+03
1.566000000000000000e+03,7.839396851434865312e+03
1.623000000000000000e+03,7.889153015117722134e+03
1.682000000000000000e+03,7.887856185671337698e+03
1.743000000000000000e+03,7.938074636931968598e+03
