# wavelength, epsilon_R
4.320000000000000000e+02,9.761528579833370634e-01
4.870000000000000000e+02,9.790259511633816469e-01
5.215000000000000000e+02,9.804769292045117934e-01
5.560000000000000000e+02,9.817221356566302459e-01
5.635000000000000000e+02,9.819696015811260059e-01
5.884000000000000909e+02,9.827390158104227780e-01
6.140000000000000000e+02,9.834550174375333853e-01
6.390000000000000000e+02,9.840902228008298058e-01
6.646000000000000227e+02,9.846832934794201853e-01
6.895000000000000000e+02,9.852110933816206062e-01
7.150000000000000000e+02,9.857072950290723945e-01
7.400000000000000000e+02,9.861550892381097944e-01
7.650000000000000000e+02,9.865687348731172479e-01
7.905000000000000000e+02,9.869591677786415662e-01
8.160000000000000000e+02,9.873210661287513679e-01
8.413000000000000682e+02,9.876547497008021370e-01
8.660000000000000000e+02,9.879584869042775663e-01
8.915999999999999091e+02,9.882524770138598758e-01
9.170000000000000000e+02,9.885251495163964730e-01
9.423999999999999773e+02,9.887805830314780886e-01
9.673000000000000682e+02,9.890157127024449268e-01
9.927000000000000455e+02,9.892413058531344117e-01
1.018000000000000000e+03,9.894528822456101214e-01
1.060000000000000000e+03,9.897780078916944557e-01
1.098000000000000000e+03,9.900470960987792779e-01
1.138000000000000000e+03,9.903076451592175422e-01
1.179000000000000000e+03,9.905532710991450385e-01
1.222000000000000000e+03,9.907902108424713195e-01
1.266000000000000000e+03,9.910132362512731330e-01
1.312000000000000000e+03,9.912277763587965529e-01
1.358000000000000000e+03,9.914254154628817650e-01
1.408000000000000000e+03,9.916232367323345454e-01
1.459000000000000000e+03,9.918088262358725204e-01
1.512000000000000000e+03,9.919863464789603347e-01
1.566000000000000000e+03,9.921529449777423126e-01
1.623000000000000000e+03,9.923149381512651468e-01
1.682000000000000000e+03,9.924693158301730600e-01
1.743000000000000000e+03,9.926163155932515858e-01
