# epsilon_R, wavelength
9.160768663741746254e-01,4.320000000000000000e+02
9.256365018762797714e-01,4.870000000000000000e+02
9.305188209549100087e-01,5.215000000000000000e+02
9.347383295980422613e-01,5.560000000000000000e+02
9.355801726028483145e-01,5.635000000000000000e+02
9.382045954181444936e-01,5.884000000000000909e+02
9.406563733768520397e-01,6.140000000000000000e+02
9.428392271928216495e-01,6.390000000000000000e+02
9.448838929475917858e-01,6.646000000000000227e+02
9.467089213422000826e-01,6.895000000000000000e+02
9.484293380636049653e-01,7.150000000000000000e+02
9.499858004974952586e-01,7.400000000000000000e+02
9.514268525337715721e-01,7.650000000000000000e+02
9.527899399680090919e-01,7.905000000000000000e+02
9.540559329012513468e-01,8.160000000000000000e+02
9.552253844278034700e-01,8.413000000000000682e+02
9.562916899090107004e-01,8.660000000000000000e+02
9.573254204630678998e-01,8.915999999999999091e+02
9.582856422369507854e-01,9.170000000000000000e+02
9.591864238230828343e-01,9.423999999999999773e+02
9.600166900830644501e-01,9.673000000000000682e+02
9.608142622106892183e-01,9.927000000000000455e+02
9.615631527934253020e-01,1.018000000000000000e+03
9.627156115852356644e-01,1.060000000000000000e+03
9.636709540053435274e-01,1.098000000000000000e+03
9.645972922627781276e-01,1.138000000000000000e+03
9.654717586931780282e-01,1.179000000000000000e+03
9.663163926930141701e-01,1.222000000000000000e+03
9.671124067763290366e-01,1.266000000000000000e+03
9.678790351357284827e-01,1.312000000000000000e+03
9.685860522500305825e-01,1.358000000000000000e+03
9.692944732987641698e-01,1.408000000000000000e+03
9.699597762884418772e-01,1.459000000000000000e+03
9.705967742704446621e-01,1.512000000000000000e+03
9.711951353994636715e-01,1.566000000000000000e+03
9.717774707450871352e-01,1.623000000000000000e+03
9.723329028324766421e-01,1.682000000000000000e+03
9.728622196893064178e-01,1.743000000000000000e+03
