# epsilon_R, wavelength
1.086952754909496832e+00,4.320000000000000000e+02
1.086944740615934490e+00,4.870000000000000000e+02
1.086935237832094669e+00,5.215000000000000000e+02
1.086920823028859173e+00,5.560000000000000000e+02
1.086916913537081086e+00,5.635000000000000000e+02
1.086901664631071851e+00,5.884000000000000909e+02
1.086881967988394981e+00,6.140000000000000000e+02
1.086858334191560083e+00,6.390000000000000000e+02
1.086829182941832395e+00,6.646000000000000227e+02
1.086795637693144467e+00,6.895000000000000000e+02
1.086755632392553572e+00,7.150000000000000000e+02
1.086710575904537457e+00,7.400000000000000000e+02
1.086659515195135706e+00,7.650000000000000000e+02
1.086601071731152279e+00,7.905000000000000000e+02
1.086536081912034657e+00,8.160000000000000000e+02
1.086465065912029404e+00,8.413000000000000682e+02
1.086389439219922703e+00,8.660000000000000000e+02
1.086304525453034353e+00,8.915999999999999091e+02
1.086213779673502522e+00,9.170000000000000000e+02
1.086116678325157459e+00,9.423999999999999773e+02
1.086015462175859092e+00,9.673000000000000682e+02
1.085906241060440758e+00,9.927000000000000455e+02
1.085791653496971376e+00,1.018000000000000000e+03
1.085589258754967812e+00,1.060000000000000000e+03
1.085393852169717954e+00,1.098000000000000000e+03
1.085176546630159500e+00,1.138000000000000000e+03
1.084942537861852907e+00,1.179000000000000000e+03
1.084686109103845775e+00,1.222000000000000000e+03
1.084413414572941825e+00,1.266000000000000000e+03
1.084118673446541559e+00,1.312000000000000000e+03
1.083815561252430282e+00,1.358000000000000000e+03
1.083478269441756847e+00,1.408000000000000000e+03
1.083127568141122321e+00,1.459000000000000000e+03
1.082757764778944365e+00,1.512000000000000000e+03
1.082377112178743106e+00,1.566000000000000000e+03
1.081972835263048216e+00,1.623000000000000000e+03
1.081553435904799354e+00,1.682000000000000000e+03
1.081120502836635300e+00,1.743000000000000000e+03
