# wavelength, D_lambda
4.320000000000000000e+02,8.073165689652772926e+03
4.870000000000000000e+02,8.082741462948184562e+03
5.215000000000000000e+02,8.056773140517559114e+03
5.560000000000000000e+02,8.042492882397223184e+03
5.635000000000000000e+02,8.038717206932610679e+03
5.884000000000000909e+02,8.030590639397927589e+03
6.140000000000000000e+02,8.016185616752213718e+03
6.390000000000000000e+02,8.005401518101584770e+03
6.646000000000000227e+02,7.992087368825395970e+03
6.895000000000000000e+02,7.985917888445493190e+03
7.150000000000000000e+02,7.975343089154818699e+03
7.400000000000000000e+02,7.965480154061843677e+03
7.650000000000000000e+02,7.957676539520952247e+03
7.905000000000000000e+02,7.950895870046492746e+03
8.160000000000000000e+02,7.944920771865593451e+03
8.413000000000000682e+02,7.934878176810267178e+03
8.660000000000000000e+02,7.926246968813832609e+03
8.915999999999999091e+02,7.920947154997581492e+03
9.170000000000000000e+02,7.918808344602012767e+03
9.423999999999999773e+02,7.914573755613551839e+03
9.673000000000000682e+02,7.909331460216440064e+03
9.927000000000000455e+02,7.911092829827271089e+03
1.018000000000000000e+03,7.905875192179334590e+03
1.060000000000000000e+03,7.898379748331518385e+03
1.098000000000000000e+03,7.893381280413836066e+03
1.138000000000000000e+03,7.890991111732192621e+03
1.179000000000000000e+03,7.888004502687895183e+03
1.222000000000000000e+03,7.885837412358154324e+03
1.266000000000000000e+03,7.881982613256565855e+03
1.312000000000000000e+03,7.879587594645132413e+03
1.358000000000000000e+03,7.873315168319239092e+03
1.408000000000000000e+03,7.867459158466094777e+03
1.459000000000000000e+03,7.861614863605148457e+03
1.512000000000000000e+03,7.847305053760745068e+03
1.566000000000000000e+03,7.837476541696309141e+03
1.623000000000000000e+03,7.830779717121982685e+03
1.682000000000000000e+03,7.832411868465949738e+03
1.743000000000000000e+03,7.818872658612030136e+03
