# D_lambda, wavelength
7.310901410009229949e+03,4.320000000000000000e+02
7.438399033091181082e+03,4.870000000000000000e+02
7.475410088330747385e+03,5.215000000000000000e+02
7.513981358559851287e+03,5.560000000000000000e+02
7.520599503957670095e+03,5.635000000000000000e+02
7.543003363795097357e+03,5.884000000000000909e+02
7.557304309447565174e+03,6.140000000000000000e+02
7.571174232094967920e+03,6.390000000000000000e+02
7.581985190682427856e+03,6.646000000000000227e+02
7.592560328036346618e+03,6.895000000000000000e+02
7.599985204222003631e+03,7.150000000000000000e+02
7.606359393339201233e+03,7.400000000000000000e+02
7.612779009236513957e+03,7.650000000000000000e+02
7.619161487231407591e+03,7.905000000000000000e+02
7.625041959092748584e+03,8.160000000000000000e+02
7.626621950619250129e+03,8.413000000000000682e+02
7.628612304105719886e+03,8.660000000000000000e+02
7.632638219237875091e+03,8.915999999999999091e+02
7.638172601366232811e+03,9.170000000000000000e+02
7.641411228281880540e+03,9.423999999999999773e+02
7.643824856651271148e+03,9.673000000000000682e+02
7.651239995114744488e+03,9.927000000000000455e+02
7.653020150976019977e+03,1.018000000000000000e+03
7.655086129804811208e+03,1.060000000000000000e+03
7.658503247106596064e+03,1.098000000000000000e+03
7.662933091231560866e+03,1.138000000000000000e+03
7.666993153518819781e+03,1.179000000000000000e+03
7.671508200356891393e+03,1.222000000000000000e+03
7.674525036790558261e+03,1.266000000000000000e+03
7.677643136104750738e+03,1.312000000000000000e+03
7.677541901418671841e+03,1.358000000000000000e+03
7.676779118501286575e+03,1.408000000000000000e+03
7.677089226081235211e+03,1.459000000000000000e+03
7.667886613115127147e+03,1.512000000000000000e+03
7.663725869329951820e+03,1.566000000000000000e+03
7.660680766883753677e+03,1.623000000000000000e+03
7.665754103719502382e+03,1.682000000000000000e+03
7.657561288432868423e+03,1.743000000000000000e+03
