# epsilon_R, wavelength
9.703677336948847154e-01,4.320000000000000000e+02
9.739191939790224906e-01,4.870000000000000000e+02
9.757146924502855256e-01,5.215000000000000000e+02
9.772565947895734961e-01,5.560000000000000000e+02
9.775631383650443818e-01,5.635000000000000000e+02
9.785164764530983605e-01,5.884000000000000909e+02
9.794039620690225822e-01,6.140000000000000000e+02
9.801915654461412775e-01,6.390000000000000000e+02
9.809271501601523058e-01,6.646000000000000227e+02
9.815819623866153254e-01,6.895000000000000000e+02
9.821977294365843436e-01,7.150000000000000000e+02
9.827535554191825229e-01,7.400000000000000000e+02
9.832671045800780441e-01,7.650000000000000000e+02
9.837519318061114237e-01,7.905000000000000000e+02
9.842014099804684557e-01,8.160000000000000000e+02
9.846159172141564220e-01,8.413000000000000682e+02
9.849932845205893184e-01,8.660000000000000000e+02
9.853585963238833401e-01,8.915999999999999091e+02
9.856974667531316348e-01,9.170000000000000000e+02
9.860149548026958533e-01,9.423999999999999773e+02
9.863072421745190388e-01,9.673000000000000682e+02
9.865877070059509979e-01,9.927000000000000455e+02
9.868507744146697291e-01,1.018000000000000000e+03
9.872550794838523824e-01,1.060000000000000000e+03
9.875897496308025936e-01,1.098000000000000000e+03
9.879138422813397158e-01,1.138000000000000000e+03
9.882194108818541656e-01,1.179000000000000000e+03
9.885142089814861199e-01,1.222000000000000000e+03
9.887917268398217496e-01,1.266000000000000000e+03
9.890587152975784946e-01,1.312000000000000000e+03
9.893046962750871032e-01,1.358000000000000000e+03
9.895509282654898486e-01,1.408000000000000000e+03
9.897819572357933193e-01,1.459000000000000000e+03
9.900029612997954809e-01,1.512000000000000000e+03
9.902103861318454214e-01,1.566000000000000000e+03
9.904120936024976007e-01,1.623000000000000000e+03
9.906043337365152412e-01,1.682000000000000000e+03
9.907874002238925559e-01,1.743000000000000000e+03
