# epsilon_R, wavelength
1.041632278396903644e+00,4.320000000000000000e+02
1.041589935972319081e+00,4.870000000000000000e+02
1.041550353506776272e+00,5.215000000000000000e+02
1.041499371838928489e+00,5.560000000000000000e+02
1.041486702290369548e+00,5.635000000000000000e+02
1.041440458873018393e+00,5.884000000000000909e+02
1.041386124580749195e+00,6.140000000000000000e+02
1.041326377788713176e+00,6.390000000000000000e+02
1.041258395571744488e+00,6.646000000000000227e+02
1.041185787154560671e+00,6.895000000000000000e+02
1.041104987018907302e+00,7.150000000000000000e+02
1.041019677325107029e+00,7.400000000000000000e+02
1.040928608818180834e+00,7.650000000000000000e+02
1.040830103318370892e+00,7.905000000000000000e+02
1.040726274542457475e+00,8.160000000000000000e+02
1.040618361929525726e+00,8.413000000000000682e+02
1.040508656442237223e+00,8.660000000000000000e+02
1.040390790404916999e+00,8.915999999999999091e+02
1.040270033496778046e+00,9.170000000000000000e+02
1.040145853182231406e+00,9.423999999999999773e+02
1.040021145216227572e+00,9.673000000000000682e+02
1.039891248042252414e+00,9.927000000000000455e+02
1.039759501072294201e+00,1.018000000000000000e+03
1.039536444596114606e+00,1.060000000000000000e+03
1.039330935829870572e+00,1.098000000000000000e+03
1.039111869134458965e+00,1.138000000000000000e+03
1.038885407311767262e+00,1.179000000000000000e+03
1.038646822235208322e+00,1.222000000000000000e+03
1.038402519712349203e+00,1.266000000000000000e+03
1.038147876342624842e+00,1.312000000000000000e+03
1.037894859277920689e+00,1.358000000000000000e+03
1.037622526550438407e+00,1.408000000000000000e+03
1.037348399709352442e+00,1.459000000000000000e+03
1.037068127629656500e+00,1.512000000000000000e+03
1.036787981598084052e+00,1.566000000000000000e+03
1.036498706116346646e+00,1.623000000000000000e+03
1.036206649559228365e+00,1.682000000000000000e+03
1.035912878940862480e+00,1.743000000000000000e+03
