# wavelength, D_lambda
4.320000000000000000e+02,7.508853903476775486e+03
4.870000000000000000e+02,7.635213222028313794e+03
5.215000000000000000e+02,7.736159221934491143e+03
5.560000000000000000e+02,7.842759573689295394e+03
5.635000000000000000e+02,7.864395741062124216e+03
5.884000000000000909e+02,7.922839957259841867e+03
6.140000000000000000e+02,7.982652125443023579e+03
6.390000000000000000e+02,8.035591852308066336e+03
6.646000000000000227e+02,8.104504968004522198e+03
6.895000000000000000e+02,8.113988852984311052e+03
7.150000000000000000e+02,8.152811135736626056e+03
7.400000000000000000e+02,8.192566443392057408e+03
7.650000000000000000e+02,8.223685700348703904e+03
7.905000000000000000e+02,8.252128916558243873e+03
8.160000000000000000e+02,8.275489902608956982e+03
8.413000000000000682e+02,8.308071760399159757e+03
8.660000000000000000e+02,8.340781233403204169e+03
8.915999999999999091e+02,8.363238240678305374e+03
9.170000000000000000e+02,8.370324989911970988e+03
9.423999999999999773e+02,8.380959847772539433e+03
9.673000000000000682e+02,8.404938545915729264e+03
9.927000000000000455e+02,8.403841518667242781e+03
1.018000000000000000e+03,8.430124040710528789e+03
1.060000000000000000e+03,8.449554360472011467e+03
1.098000000000000000e+03,8.480374751337005364e+03
1.138000000000000000e+03,8.486645729570142066e+03
1.179000000000000000e+03,8.506872814890042719e+03
1.222000000000000000e+03,8.522147548520986675e+03
1.266000000000000000e+03,8.554229833308558227e+03
1.312000000000000000e+03,8.561971983044535591e+03
1.358000000000000000e+03,8.588450756829568491e+03
1.408000000000000000e+03,8.608300864408891357e+03
1.459000000000000000e+03,8.636821853039378766e+03
1.512000000000000000e+03,8.665321205866050150e+03
1.566000000000000000e+03,8.690355124921112292e+03
1.623000000000000000e+03,8.714268118381829481e+03
1.682000000000000000e+03,8.715376954447572643e+03
1.743000000000000000e+03,8.736604397355462424e+03
