# D_lambda, wavelength
7.277806205548964499e+03,4.320000000000000000e+02
7.428413955003155024e+03,4.870000000000000000e+02
7.541804494940573932e+03,5.215000000000000000e+02
7.658830293299612094e+03,5.560000000000000000e+02
7.682581568928537308e+03,5.635000000000000000e+02
7.747765030390208267e+03,5.884000000000000909e+02
7.813965819363776973e+03,6.140000000000000000e+02
7.872611812568819005e+03,6.390000000000000000e+02
7.946681959944079608e+03,6.646000000000000227e+02
7.961463595629880729e+03,6.895000000000000000e+02
8.004936120697081606e+03,7.150000000000000000e+02
8.048875084477824203e+03,7.400000000000000000e+02
8.083931232472862575e+03,7.650000000000000000e+02
8.116112273844455558e+03,7.905000000000000000e+02
8.142997920532968237e+03,8.160000000000000000e+02
8.178768732734376499e+03,8.413000000000000682e+02
8.214355347117119891e+03,8.660000000000000000e+02
8.239667710100762633e+03,8.915999999999999091e+02
8.249535550296172005e+03,9.170000000000000000e+02
8.262754895676627712e+03,9.423999999999999773e+02
8.288992399570704947e+03,9.673000000000000682e+02
8.290256554922325449e+03,9.927000000000000455e+02
8.318579692601080751e+03,1.018000000000000000e+03
8.341255685538451871e+03,1.060000000000000000e+03
8.374710094472991841e+03,1.098000000000000000e+03
8.383686594919614436e+03,1.138000000000000000e+03
8.406366503820650905e+03,1.179000000000000000e+03
8.423974378836130199e+03,1.222000000000000000e+03
8.458155755522333493e+03,1.266000000000000000e+03
8.468207792017179599e+03,1.312000000000000000e+03
8.496483070586147733e+03,1.358000000000000000e+03
8.518484981219875408e+03,1.408000000000000000e+03
8.548783434160877732e+03,1.459000000000000000e+03
8.579134046307168319e+03,1.512000000000000000e+03
8.605815080055645012e+03,1.566000000000000000e+03
8.631183314465773947e+03,1.623000000000000000e+03
8.634227216795630738e+03,1.682000000000000000e+03
8.656826226380975640e+03,1.743000000000000000e+03
