# D_lambda, wavelength
6.160496524600711382e+03,4.320000000000000000e+02
6.281460082979473555e+03,4.870000000000000000e+02
6.445704150089271025e+03,5.215000000000000000e+02
6.589035127062436914e+03,5.560000000000000000e+02
6.620107878922643067e+03,5.635000000000000000e+02
6.699528093524254473e+03,5.884000000000000909e+02
6.794753986891555542e+03,6.140000000000000000e+02
6.874317138777508262e+03,6.390000000000000000e+02
6.975705425709910742e+03,6.646000000000000227e+02
6.999852508652315919e+03,6.895000000000000000e+02
7.064335690159407022e+03,7.150000000000000000e+02
7.127693132191304358e+03,7.400000000000000000e+02
7.176977184542909526e+03,7.650000000000000000e+02
7.222041362690223650e+03,7.905000000000000000e+02
7.260099543889730739e+03,8.160000000000000000e+02
7.316529139108296476e+03,8.413000000000000682e+02
7.369873351310785438e+03,8.660000000000000000e+02
7.403869366892745347e+03,8.915999999999999091e+02
7.416317170307884226e+03,9.170000000000000000e+02
7.435733375736331254e+03,9.423999999999999773e+02
7.471529313969216673e+03,9.673000000000000682e+02
7.467339743333800470e+03,9.927000000000000455e+02
7.506626572910124196e+03,1.018000000000000000e+03
7.541621313854274376e+03,1.060000000000000000e+03
7.584838535996563223e+03,1.098000000000000000e+03
7.595141182932918127e+03,1.138000000000000000e+03
7.622729716990405905e+03,1.179000000000000000e+03
7.640505328311397534e+03,1.222000000000000000e+03
7.682994326879022083e+03,1.266000000000000000e+03
7.695055500026693153e+03,1.312000000000000000e+03
7.732643349476542426e+03,1.358000000000000000e+03
7.765443797030146925e+03,1.408000000000000000e+03
7.807477884826274931e+03,1.459000000000000000e+03
7.858702150299268396e+03,1.512000000000000000e+03
7.906490429278156626e+03,1.566000000000000000e+03
7.955330482394051614e+03,1.623000000000000000e+03
7.952722664536504453e+03,1.682000000000000000e+03
8.001511901725488315e+03,1.743000000000000000e+03
